Country,Indicator,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
Kenya,Lending interest rate (%),19.6658333333333,18.4533333333333,16.5733333333333,12.5316666666667,12.8825,13.6355339080567,13.340343675809,14.0169393773033,14.8045412422178,14.3715,15.0467599904394,19.7234066533954,17.3134576914047,16.5139307062948,16.086613785739,16.5596306460545,13.6675725164372,13.0607588353757,12.4411328875146,11.9957846171539,12.0799983467507,12.3358409030593,13.588501716128
Ghana,"Interest rate spread (lending rate minus deposit rate, %)",,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,"Interest rate spread (lending rate minus deposit rate, %)",,,,,-0.55833333333333,-3.085,-3.06166666666666,-3.14,-3.60166666666667,-3.27333333333334,-3.24491666666666,-2.95333333333333,-2.36666666666667,-1.92,-1.84416666666666,-1.63,-1.35,,,,,,
Kenya,"Interest rate spread (lending rate minus deposit rate, %)",13.0266666666666,12.9666666666666,12.44,10.0983333333334,7.8,8.49683095674945,8.1780926294662,8.71480874356553,8.83752449197034,9.81413333333333,9.41819659282688,8.1512619961056,8.67168802034769,8.14055109851998,6.89766857500807,7.8710050733349,5.99344925853891,4.76805861880062,4.93506258174152,5.0270813257799,5.39302455919887,5.1906654012314,4.42081153983732
Ghana,Fossil fuel energy consumption (% of total),32.1757193141546,36.0289910933857,36.7621363537813,36.9201097019308,37.6025049951565,43.0343227164708,45.75724713376,42.9520794794922,46.0023935928984,49.6777884074571,49.8210397188239,52.6160021970445,52.4975934413822,52.5430601292631,,,,,,,,,
Cote d'Ivoire,Fossil fuel energy consumption (% of total),34.2983971532307,37.8487156284546,32.5014405081501,24.9305732993684,25.3912567218617,21.4491642750928,24.2532852502159,24.6166579573275,22.7178036261412,23.2315074256831,20.8677616437152,24.6801540811143,26.6581215014873,26.4923300237552,,,,,,,,,
Kenya,Fossil fuel energy consumption (% of total),16.4217860033983,15.6769512776347,12.9990110853581,14.0990239653125,15.4387442540682,17.0652641405758,16.6435113141749,16.9646664447887,18.8547729493402,19.411686082096,19.0640186416358,17.1146157753522,18.2660722824899,17.3795726114892,,,,,,,,,
Ghana,Unemployment rate,9.604,8.698,7.722,6.757,5.817,4.897,5.092,5.142,5.349,5.384,4.227,3.141,2.173,4.412,6.806,5.237,3.369,3.251,3.156,3.285,3.338,3.084,3.079
Cote d'Ivoire,Unemployment rate,5.199,5.516,5.858,5.93,6.041,6.04,6.308,6.404,6.586,6.614,7.145,7.223,4.255,3.275,2.574,1.896,3.273,2.851,2.401,2.559,2.59,2.434,2.403
Kenya,Unemployment rate,2.868,2.903,2.86,2.836,2.739,2.678,2.65,2.752,2.813,2.793,2.706,2.686,2.764,2.768,2.763,2.757,3.54,4.284,5.014,5.621,5.693,5.805,5.682
